"Headline","Publisher","Date"
"Police acted unlawfully in Hager raid","Otago Daily Times","2019-08-22"
"Nicky Hager police raid in 2014 'unwitting neglect of duty' - IPCA","RNZ","2019-08-22"
"Police did not intentionally deceive judge in Dirty Politics raid - IPCA","New Zealand Herald","2019-08-22"
"Speeding while overtaking ruled legal in High Court appeal","TVNZ","2019-08-22"
"Police stand by ticketing person speeding to avoid crash","Stuff.co.nz","2019-08-22"
"Driver escapes speeding fine after appeal","Otago Daily Times","2019-08-22"
"'It's just not right' - Driver escapes fine after appealing passing lane speeding manoeuvre","New Zealand Herald","2019-08-22"
"Passing lane dilemma: Driver battles ticket for exceeding the limit when slow lane cars sped up","Stuff.co.nz","2019-08-22"
"National Party MP Paula Bennett responds to 'grumpy' Winston Peters' call for her head - with a bouquet","New Zealand Herald","2019-08-22"
"National rejects reports Bennett will resign to end Peters lawsuit","Newstalk ZB","2019-08-22"
"Winston Peters vs National: Paula Bennett not giving up her scalp","New Zealand Herald","2019-08-22"
"Paula responds to Winston's call for her head - with a bouquet","Newstalk ZB","2019-08-22"
"HDPA: Winston's in the right - National has a history of playing 'dirty politics'","Newstalk ZB","2019-08-22"
"Bridges digs himself deeper over policy costing plans","Newsroom","2019-08-22"
"'You hide away': PM Jacinda Ardern challenged during visit to Maori King","New Zealand Herald","2019-08-22"
"'We will be there': Jacinda Ardern speaks out on Ihumatao","Newshub","2019-08-22"
"'You hide away' - young iwi leader challenges Ardern to 'show the courage again' on Maori issues","TVNZ","2019-08-22"
"Prime Minister Jacinda Ardern speaks on Ihumatao after visit to Maori King","New Zealand Herald","2019-08-22"
"'You hide away': PM challenged during visit to Maori King","Newstalk ZB","2019-08-22"
"Ombudsman: Northland's Ngawha Prison conditions breach Convention against Torture","New Zealand Herald","2019-08-22"
"Northland's Ngawha prison taken to task by chief ombudsman over conditions","Stuff.co.nz","2019-08-22"
"Northland prison breached Convention against Torture, Ombudsman finds","TVNZ","2019-08-22"
"'I don't trust them' – Simon Bridges slams Government as culprit for high fuel prices","TVNZ","2019-08-22"
"Labour's attempts to make petrol more affordable futile - Simon Bridges","Newshub","2019-08-22"
"Revealed: The New Zealand regions paying the most and least for fuel | Newshub","Newshub","2019-08-22"
"Another case of measles confirmed in Taranaki making it the third in six weeks","Stuff.co.nz","2019-08-22"
"Unvaccinated woman in her 20s is latest Taranaki confirmed measles case","New Zealand Herald","2019-08-22"
"Bomb scare forces Auckland workers out of Victoria St West office building","New Zealand Herald","2019-08-22"
"Bomb threat at central Auckland office building sparks evacuation","Stuff.co.nz","2019-08-22"
"Lotto: Winner yet to claim Saturday's $12.2 million Powerball prize","Newshub","2019-08-22"
"$12.2 million Powerball prize remains unclaimed","New Zealand Herald","2019-08-22"
"Hamilton Lotto player wins $1 million","Stuff.co.nz","2019-08-22"
"Is it you? $12m Lotto prize remains unclaimed","Newstalk ZB","2019-08-22"
"Man jailed for indecent act in library's 'teen space'","New Zealand Herald","2019-08-22"
"Stepfather allegedly killed child while mum went to supermarket","Otago Daily Times","2019-08-22"
"Ariah Roberts murder trial: Accused said he dropped toddler, court told","RNZ","2019-08-22"
"Man accused of killing 2yo in Mangawhai: Crown alleges victim received multiple blows to her head","Newshub","2019-08-22"
"Ariah Roberts murder: What stepfather said after alleged fatal assault","New Zealand Herald","2019-08-22"
"Ariah Roberts murder trial: Mangawhai toddler died of acute brain injury","RNZ","2019-08-22"
"Former Taranaki cop jailed for fleecing nearly $500000 from hapu, stalling marae plans","Stuff.co.nz","2019-08-22"
"Former cop Shaun Keenan jailed for 46 theft-related charges","New Zealand Herald","2019-08-22"
"Former cop and Ngati Te Whiti trust CEO jailed for defrauding hapu","TVNZ","2019-08-22"
"Prime Minister Jacinda Ardern says Government has 'more work to do' on gender pay gap","New Zealand Herald","2019-08-22"
"'More work to do' on gender pay gap – Ardern","Newstalk ZB","2019-08-22"
"Simon Bridges reveals why he doesn't support proposed 'fiscal watchdog'","Newshub","2019-08-22"
"National Leader Simon Bridges won't support Govt's plans to set up new policy costing unit","New Zealand Herald","2019-08-22"
