"Headline","Publisher","Date"
"Mum fined $50 for truant teen: 'He's a lazy little bugger and I can't do anything'","Stuff.co.nz","2019-08-22"
"Parents fined over son wagging school","Otago Daily Times","2019-08-22"
"Parents fined for son wagging school: 'He's just a lazy little bugger,' says mum","New Zealand Herald","2019-08-22"
"Christchurch woman jailed for stealing plaques from war veterans' graves to fund drug addiction","TVNZ","2019-08-22"
"Christchurch woman jailed 26 months for stealing veteran plaques","Stuff.co.nz","2019-08-22"
"Jail for woman who stole old soldiers' plaques from Springston Cemetery","New Zealand Herald","2019-08-22"
"Jail time for woman who stole RSA memorial plaques to sell for drug money","Newshub","2019-08-22"
"Ngapuhi elder shocked by 'medieval' conditions at Ngawha Prison","Stuff.co.nz","2019-08-22"
"Ngapuhi elder 'shocked' by conditions at Ngawha Prison","New Zealand Herald","2019-08-22"
"Ngawha Prison inmates denied water, forced to relieve selves in exercise yard, Ngapuhi elder alleges","TVNZ","2019-08-22"
"Josh Ioane admits missing out on All Blacks debut was 'a hard pill to swallow'","Stuff.co.nz","2019-08-22"
"Return of Ioane, Coltman adds significant quality","Otago Daily Times","2019-08-22"
"Mitre 10 Cup: Rieko Ioane has point to prove for Auckland after All Blacks axing","Stuff.co.nz","2019-08-22"
"Spark shares jump as profit rises","New Zealand Herald","2019-08-22"
"Spark shares jump 5% on stronger profit, as costs fall","Stuff.co.nz","2019-08-22"
"Wellington public react to 'terrifying' and 'gross' sculpture Quasi","Stuff.co.nz","2019-08-22"
"Wellington Quasi hand sculpture","RNZ","2019-08-22"
"Wellington: Confused locals divided over ‘shocker’ rooftop sculpture in NZ city","NEWS.com.au","2019-08-22"
"Monstrous hand installation, Quasi, moved from Christchurch Art Gallery to Wellington","TVNZ","2019-08-22"
"'Nightmare' hand sculpture arrives in Wellington, horrifies locals","Newshub","2019-08-22"
"Liam Hemsworth files for divorce from Miley Cyrus","New Zealand Herald","2019-08-22"
"Liam Hemsworth seeks to divorce Miley Cyrus after 7 months of marriage","Stuff.co.nz","2019-08-22"
"Liam Hemsworth Files For DIVORCE From Miley Cyrus!","Clevver News","2019-08-22"
"Everything You Need to Know About Kaitlynn Carter","Cosmopolitan.com","2019-08-22"
"Billie Eilish Blasts People Using Her Image To Shame Others","HollywoodLife","2019-08-22"
"Super Fund hangs out its shingle","New Zealand Herald","2019-08-22"
"Fran O'Sullivan: Infrastructure role will take every ounce of Alan Bollard's steel","New Zealand Herald","2019-08-22"
"New NZ Infrastructure Commission board announced in Rotorua","New Zealand Herald","2019-08-22"
"Time to change our regional incentives","New Zealand Herald","2019-08-22"
"Grant Robertson: Investing for New Zealand","New Zealand Herald","2019-08-22"
"Sky TV ordered to pay $4000 for broadcasting 'highly disturbing' Christchurch attack livestream footage","Newshub","2019-08-22"
"Sky News NZ breached broadcasting standards with its clips from the terrorist shooter","Stuff.co.nz","2019-08-22"
"Sky TV's terror attack coverage breached rules","Otago Daily Times","2019-08-22"
"Sky Television NZ fined for use of Christchurch terrorist attack video","TVNZ","2019-08-22"
"Sky TV breached broadcasting standards over mosque terror attack coverage, pinged for $4000","New Zealand Herald","2019-08-22"
"Primary principals accept Government offer","Stuff.co.nz","2019-08-22"
"Man arrested in Australia over Queenstown stabbing","Otago Daily Times","2019-08-22"
"Queenstown stabbing: Suspect escaped NZ, caught entering Australia","New Zealand Herald","2019-08-22"
"Man wanted after Queenstown stabbings detained entering Australia","RNZ","2019-08-22"
"Flight takes scenic detour before landing in Dunedin","Otago Daily Times","2019-08-22"
"Otago man wanted in relation to Queenstown stabbing arrested trying to enter Australia","TVNZ","2019-08-22"
"Wellsford fire under control, after it forced evacuation of school","Stuff.co.nz","2019-08-22"
"Wellington Regional Council declares climate emergency and goal to be carbon neutral by 2030","Stuff.co.nz","2019-08-22"
"Mike Hosking: TVNZ's in trouble and they should blame their own bad decisions, not Google","New Zealand Herald","2019-08-22"
"Plot thickens for TVNZ as a $17.1 million loss looms","Stuff.co.nz","2019-08-22"
"Mike's Minute: TVNZ's in trouble - blame yourselves, not Google","Newstalk ZB","2019-08-22"
"Power outage hits Mairangi Bay on Auckland's North Shore","New Zealand Herald","2019-08-22"
"Power outage in Auckland's Mairangi Bay","Newshub","2019-08-22"
"Power cut caused by bad weather at Mairangi Bay on Auckland's North Shore","Stuff.co.nz","2019-08-22"
"Nicky Hager police raid in 2014 'unwitting neglect of duty' - IPCA","RNZ","2019-08-22"
"Surprise, surprise – the bloody pigs clear themselves over illegal Hager raid","thedailyblog.co.nz","2019-08-22"
"Police acted unlawfully in Hager raid","Otago Daily Times","2019-08-22"
"Police 'neglect of duty' led to unlawful search of Nicky Hager's home — IPCA","Stuff.co.nz","2019-08-22"
"Police did not intentionally deceive judge in Dirty Politics raid - IPCA","New Zealand Herald","2019-08-22"
"Speeding while overtaking ruled legal in High Court appeal","TVNZ","2019-08-22"
"Police stand by ticketing person speeding to avoid crash","Stuff.co.nz","2019-08-22"
"Driver escapes speeding fine after appeal","Otago Daily Times","2019-08-22"
"'It's just not right' - Driver escapes fine after appealing passing lane speeding manoeuvre","New Zealand Herald","2019-08-22"
"Passing lane dilemma: Driver battles ticket for exceeding the limit when slow lane cars sped up","Stuff.co.nz","2019-08-22"
"National Party MP Paula Bennett responds to 'grumpy' Winston Peters' call for her head - with a bouquet","New Zealand Herald","2019-08-22"
"National rejects reports Bennett will resign to end Peters lawsuit","Newstalk ZB","2019-08-22"
"Winston Peters vs National: Paula Bennett not giving up her scalp","New Zealand Herald","2019-08-22"
"Paula responds to Winston's call for her head - with a bouquet","Newstalk ZB","2019-08-22"
"HDPA: Winston's in the right - National has a history of playing 'dirty politics'","Newstalk ZB","2019-08-22"
"Bridges digs himself deeper over policy costing plans","Newsroom","2019-08-22"
"'You hide away': PM Jacinda Ardern challenged during visit to Maori King","New Zealand Herald","2019-08-22"
"'We will be there': Jacinda Ardern speaks out on Ihumatao","Newshub","2019-08-22"
"'You hide away' - young iwi leader challenges Ardern to 'show the courage again' on Maori issues","TVNZ","2019-08-22"
"Prime Minister Jacinda Ardern speaks on Ihumatao after visit to Maori King","New Zealand Herald","2019-08-22"
"'You hide away': PM challenged during visit to Maori King","Newstalk ZB","2019-08-22"
"Northland's Ngawha prison taken to task by chief ombudsman over conditions","Stuff.co.nz","2019-08-22"
"Ombudsman: Northland's Ngawha Prison conditions breach Convention against Torture","New Zealand Herald","2019-08-22"
"Northland prison breached Convention against Torture, Ombudsman finds","TVNZ","2019-08-22"
"'I don't trust them' – Simon Bridges slams Government as culprit for high fuel prices","TVNZ","2019-08-22"
"Labour's attempts to make petrol more affordable futile - Simon Bridges","Newshub","2019-08-22"
"Revealed: The New Zealand regions paying the most and least for fuel | Newshub","Newshub","2019-08-22"
"Another case of measles confirmed in Taranaki making it the third in six weeks","Stuff.co.nz","2019-08-22"
"Unvaccinated woman in her 20s is latest Taranaki confirmed measles case","New Zealand Herald","2019-08-22"
"Bomb scare forces Auckland workers out of Victoria St West office building","New Zealand Herald","2019-08-22"
"Bomb threat at central Auckland office building sparks evacuation","Stuff.co.nz","2019-08-22"
"Lotto: Winner yet to claim Saturday's $12.2 million Powerball prize","Newshub","2019-08-22"
"$12.2 million Powerball prize remains unclaimed","New Zealand Herald","2019-08-22"
"Hamilton Lotto player wins $1 million","Stuff.co.nz","2019-08-22"
"Is it you? $12m Lotto prize remains unclaimed","Newstalk ZB","2019-08-22"
"Man jailed for indecent act in library's 'teen space'","New Zealand Herald","2019-08-22"
"Ariah Roberts murder trial: Accused said he dropped toddler, court told","RNZ","2019-08-22"
"Man accused of killing 2yo in Mangawhai: Crown alleges victim received multiple blows to her head","Newshub","2019-08-22"
"Ariah Roberts murder: What stepfather said after alleged fatal assault","New Zealand Herald","2019-08-22"
"Ariah Roberts murder trial: Mangawhai toddler died of acute brain injury","RNZ","2019-08-22"
"Stepfather allegedly killed child while mum went to supermarket","Otago Daily Times","2019-08-22"
"Father hires killers after young couple marry","Stuff.co.nz","2019-08-22"
"A young Indian couple married for love. Then the bride's father hired assassins","New Zealand Herald","2019-08-22"
"Indian father hires assassins to kill daughter’s husband because he was from lower caste, court claims","The Independent","2019-08-22"
"Her Husband Was Hacked To Death. \"What Did You Do,\" She Asked Her Father","NDTV News","2019-08-22"
"A young Indian couple married for love. Then the bride’s father hired assassins.","The Washington Post","2019-08-22"
"How the deal was done to bring Serena Williams back to Auckland","New Zealand Herald","2019-08-22"
"Why Serena Williams won't be the top seed at next year's ASB Classic","Stuff.co.nz","2019-08-22"
"Game, Set and Match podcast: Serena Williams coming to Auckland","New Zealand Herald","2019-08-22"
"Tennis: Serena Williams announced for 2020 ASB Classic","Newshub","2019-08-22"
"Tennis legend to return to Auckland","RNZ","2019-08-22"
"Tainui to buy Ihumatao land - sources","Newshub","2019-08-23"
"Ihumatao: Protest leader Pania Newton questions reports Tainui is set to buy land","Stuff.co.nz","2019-08-23"
"Ihumatao protest won't 'simply fade away' - historian","Newshub","2019-08-23"
"School emails show 'crisis management' plans as sex allegations come to light","Stuff.co.nz","2019-08-23"
"'They have been heard': Jacinda Ardern denies snubbing Ihumatao march","New Zealand Herald","2019-08-23"
"Ihumatao protesters banned from Parliament by Speaker Trevor Mallard","Stuff.co.nz","2019-08-23"
"Ihumatao hikoi marches to prime minister Jacinda Ardern's office","New Zealand Herald","2019-08-23"
"Tamariki present 26000-strong petition calling for Jacinda Ardern to visit Ihumatao","TVNZ","2019-08-23"
